"kanji","hiragana","pos","korean_meaning","question_type","difficulty"
"姉","あね","n","누나, 언니","reading","2"
"姉","あね","n","누나, 언니","meaning_to_japanese","2"
"姉","あね","n","누나, 언니","japanese_to_meaning","2"
"あの","","det","저","meaning_to_japanese","2"
"あの","","det","저","japanese_to_meaning","2"
"雨","あめ","n","비","reading","1"
"雨","あめ","n","비","meaning_to_japanese","1"
"雨","あめ","n","비","japanese_to_meaning","1"
"甘い","あまい","i-adj","달다","reading","2"
"甘い","あまい","i-adj","달다","meaning_to_japanese","2"
"甘い","あまい","i-adj","달다","japanese_to_meaning","2"
"余り","あまり","adv","별로","reading","2"
"余り","あまり","adv","별로","meaning_to_japanese","2"
"余り","あまり","adv","별로","japanese_to_meaning","2"
"アパート","","n","아파트","meaning_to_japanese","2"
"アパート","","n","아파트","japanese_to_meaning","2"
"危ない","あぶない","i-adj","위험하다","reading","2"
"危ない","あぶない","i-adj","위험하다","meaning_to_japanese","2"
"危ない","あぶない","i-adj","위험하다","japanese_to_meaning","2"
"油","あぶら","n","기름","reading","1"
"油","あぶら","n","기름","meaning_to_japanese","1"
"油","あぶら","n","기름","japanese_to_meaning","1"
"洗う","あらう","v","씻다, 빨다","reading","2"
"洗う","あらう","v","씻다, 빨다","meaning_to_japanese","2"
"洗う","あらう","v","씻다, 빨다","japanese_to_meaning","2"
"表す","あらわす","v","나타내다","reading","2"
"表す","あらわす","v","나타내다","meaning_to_japanese","2"
"表す","あらわす","v","나타내다","japanese_to_meaning","2"
"現れる","あらわれる","v","나타나다","reading","2"
"現れる","あらわれる","v","나타나다","meaning_to_japanese","2"
"現れる","あらわれる","v","나타나다","japanese_to_meaning","2"
"有る","ある","v","있다","reading","2"
"有る","ある","v","있다","meaning_to_japanese","2"
"有る","ある","v","있다","japanese_to_meaning","2"
"歩く","あるく","v","걷다","reading","2"
"歩く","あるく","v","걷다","meaning_to_japanese","2"
"歩く","あるく","v","걷다","japanese_to_meaning","2"
"アルバイト","","n","아르바이트","meaning_to_japanese","2"
"アルバイト","","n","아르바이트","japanese_to_meaning","2"
"案内","あんない","n/v","안내","reading","2"
"案内","あんない","n/v","안내","meaning_to_japanese","2"
"案内","あんない","n/v","안내","japanese_to_meaning","2"
"安心","あんしん","n/v","안심","reading","2"
"安心","あんしん","n/v","안심","meaning_to_japanese","2"
"安心","あんしん","n/v","안심","japanese_to_meaning","2"
"安全","あんぜん","na-adj/n","안전한","reading","2"
"安全","あんぜん","na-adj/n","안전한","meaning_to_japanese","2"
"安全","あんぜん","na-adj/n","안전한","japanese_to_meaning","2"
"いい","","i-adj","좋다","meaning_to_japanese","2"
"いい","","i-adj","좋다","japanese_to_meaning","2"
"以外","いがい","n","이외","reading","2"
"以外","いがい","n","이외","meaning_to_japanese","2"
"以外","いがい","n","이외","japanese_to_meaning","2"
"医学","いがく","n","의학","reading","2"
"医学","いがく","n","의학","meaning_to_japanese","2"
"医学","いがく","n","의학","japanese_to_meaning","2"
"意見","いけん","n","의견","reading","2"
"意見","いけん","n","의견","meaning_to_japanese","2"
"意見","いけん","n","의견","japanese_to_meaning","2"
"以降","いこう","n","이후","reading","2"
"以降","いこう","n","이후","meaning_to_japanese","2"
"以降","いこう","n","이후","japanese_to_meaning","2"
"医者","いしゃ","n","의사","reading","2"
"医者","いしゃ","n","의사","meaning_to_japanese","2"
"医者","いしゃ","n","의사","japanese_to_meaning","2"
"石","いし","n","돌","reading","1"
"石","いし","n","돌","meaning_to_japanese","1"
"石","いし","n","돌","japanese_to_meaning","1"
"意識","いしき","n/v","의식","reading","2"
"意識","いしき","n/v","의식","meaning_to_japanese","2"
"意識","いしき","n/v","의식","japanese_to_meaning","2"
"椅子","いす","n","의자","reading","2"
"椅子","いす","n","의자","meaning_to_japanese","2"
"椅子","いす","n","의자","japanese_to_meaning","2"
"忙しい","いそがしい","i-adj","바쁘다","reading","2"
"忙しい","いそがしい","i-adj","바쁘다","meaning_to_japanese","2"
"忙しい","いそがしい","i-adj","바쁘다","japanese_to_meaning","2"
"痛い","いたい","i-adj","아프다","reading","2"
"痛い","いたい","i-adj","아프다","meaning_to_japanese","2"
"痛い","いたい","i-adj","아프다","japanese_to_meaning","2"
"板","いた","n","판자","reading","1"
"板","いた","n","판자","meaning_to_japanese","1"
"板","いた","n","판자","japanese_to_meaning","1"
"一","いち","num","하나, 일","reading","2"
"一","いち","num","하나, 일","meaning_to_japanese","2"
"一","いち","num","하나, 일","japanese_to_meaning","2"
"いちばん","","adv","가장, 제일","meaning_to_japanese","3"
"いちばん","","adv","가장, 제일","japanese_to_meaning","3"
"一度","いちど","adv","한 번","reading","2"
"一度","いちど","adv","한 번","meaning_to_japanese","2"
"一度","いちど","adv","한 번","japanese_to_meaning","2"
"位置","いち","n","위치","reading","2"
"位置","いち","n","위치","meaning_to_japanese","2"
"位置","いち","n","위치","japanese_to_meaning","2"
"五日","いつか","n","닷새, 5일","reading","2"
"五日","いつか","n","닷새, 5일","meaning_to_japanese","2"
"五日","いつか","n","닷새, 5일","japanese_to_meaning","2"
"一緒","いっしょ","n/adv","함께","reading","2"
"一緒","いっしょ","n/adv","함께","meaning_to_japanese","2"
"一緒","いっしょ","n/adv","함께","japanese_to_meaning","2"
"いつも","","adv","언제나","meaning_to_japanese","3"
"いつも","","adv","언제나","japanese_to_meaning","3"
"田舎","いなか","n","시골","reading","2"
"田舎","いなか","n","시골","meaning_to_japanese","2"
"田舎","いなか","n","시골","japanese_to_meaning","2"
"犬","いぬ","n","개","reading","1"
"犬","いぬ","n","개","meaning_to_japanese","1"
"犬","いぬ","n","개","japanese_to_meaning","1"
"命","いのち","n","생명","reading","1"
"命","いのち","n","생명","meaning_to_japanese","1"
"命","いのち","n","생명","japanese_to_meaning","1"
"祈る","いのる","v","기도하다","reading","2"
"祈る","いのる","v","기도하다","meaning_to_japanese","2"
"祈る","いのる","v","기도하다","japanese_to_meaning","2"
"今","いま","n","지금","reading","1"
"今","いま","n","지금","meaning_to_japanese","1"
"今","いま","n","지금","japanese_to_meaning","1"
"意味","いみ","n","의미, 뜻","reading","2"
"意味","いみ","n","의미, 뜻","meaning_to_japanese","2"
"意味","いみ","n","의미, 뜻","japanese_to_meaning","2"
"妹","いもうと","n","여동생","reading","1"
"妹","いもうと","n","여동생","meaning_to_japanese","1"
"妹","いもうと","n","여동생","japanese_to_meaning","1"
"嫌","いや","na-adj","싫은, 불쾌한","reading","2"
"嫌","いや","na-adj","싫은, 불쾌한","meaning_to_japanese","2"
"嫌","いや","na-adj","싫은, 불쾌한","japanese_to_meaning","2"
"医療","いりょう","n","의료","reading","2"
"医療","いりょう","n","의료","meaning_to_japanese","2"
"医療","いりょう","n","의료","japanese_to_meaning","2"
"入口","いりぐち","n","입구","reading","2"
"入口","いりぐち","n","입구","meaning_to_japanese","2"
"入口","いりぐち","n","입구","japanese_to_meaning","2"
"色","いろ","n","색깔","reading","1"
"色","いろ","n","색깔","meaning_to_japanese","1"
"色","いろ","n","색깔","japanese_to_meaning","1"
"いろいろ","","na-adj/adv","여러가지","meaning_to_japanese","3"
"いろいろ","","na-adj/adv","여러가지","japanese_to_meaning","3"
"岩","いわ","n","바위","reading","1"
"岩","いわ","n","바위","meaning_to_japanese","1"
"岩","いわ","n","바위","japanese_to_meaning","1"
"祝う","いわう","v","축하하다","reading","2"
"祝う","いわう","v","축하하다","meaning_to_japanese","2"
"祝う","いわう","v","축하하다","japanese_to_meaning","2"
"印象","いんしょう","n","인상","reading","2"
"印象","いんしょう","n","인상","meaning_to_japanese","2"
"印象","いんしょう","n","인상","japanese_to_meaning","2"
"上","うえ","n","위","reading","1"
"上","うえ","n","위","meaning_to_japanese","1"
"上","うえ","n","위","japanese_to_meaning","1"
"植える","うえる","v","심다","reading","3"
"植える","うえる","v","심다","meaning_to_japanese","3"
"植える","うえる","v","심다","japanese_to_meaning","3"
"受ける","うける","v","받다, 시험을 보다","reading","3"
"受ける","うける","v","받다, 시험을 보다","meaning_to_japanese","3"
"受ける","うける","v","받다, 시험을 보다","japanese_to_meaning","3"
"動く","うごく","v","움직이다","reading","2"
"動く","うごく","v","움직이다","meaning_to_japanese","2"
"動く","うごく","v","움직이다","japanese_to_meaning","2"
"失う","うしなう","v","잃다","reading","2"
"失う","うしなう","v","잃다","meaning_to_japanese","2"
"失う","うしなう","v","잃다","japanese_to_meaning","2"
"牛","うし","n","소","reading","1"
"牛","うし","n","소","meaning_to_japanese","1"
"牛","うし","n","소","japanese_to_meaning","1"
"後ろ","うしろ","n","뒤","reading","2"
"後ろ","うしろ","n","뒤","meaning_to_japanese","2"
"後ろ","うしろ","n","뒤","japanese_to_meaning","2"
"嘘","うそ","n","거짓말","reading","1"
"嘘","うそ","n","거짓말","meaning_to_japanese","1"
"嘘","うそ","n","거짓말","japanese_to_meaning","1"
"歌","うた","n","노래","reading","1"
"歌","うた","n","노래","meaning_to_japanese","1"
"歌","うた","n","노래","japanese_to_meaning","1"
"疑う","うたがう","v","의심하다","reading","2"
"疑う","うたがう","v","의심하다","meaning_to_japanese","2"
"疑う","うたがう","v","의심하다","japanese_to_meaning","2"
"歌う","うたう","v","노래하다","reading","2"
"歌う","うたう","v","노래하다","meaning_to_japanese","2"
"歌う","うたう","v","노래하다","japanese_to_meaning","2"
"打つ","うつ","v","치다","reading","2"
"打つ","うつ","v","치다","meaning_to_japanese","2"
"打つ","うつ","v","치다","japanese_to_meaning","2"
"美しい","うつくしい","i-adj","아름답다","reading","2"
"美しい","うつくしい","i-adj","아름답다","meaning_to_japanese","2"
"美しい","うつくしい","i-adj","아름답다","japanese_to_meaning","2"
"映る","うつる","v","비치다","reading","2"
"映る","うつる","v","비치다","meaning_to_japanese","2"
"映る","うつる","v","비치다","japanese_to_meaning","2"
"移る","うつる","v","옮기다","reading","2"
"移る","うつる","v","옮기다","meaning_to_japanese","2"
"移る","うつる","v","옮기다","japanese_to_meaning","2"
"器","うつわ","n","그릇","reading","1"
"器","うつわ","n","그릇","meaning_to_japanese","1"
"器","うつわ","n","그릇","japanese_to_meaning","1"
"腕","うで","n","팔","reading","1"
"腕","うで","n","팔","meaning_to_japanese","1"
"腕","うで","n","팔","japanese_to_meaning","1"
"生まれる","うまれる","v","태어나다","reading","3"
"生まれる","うまれる","v","태어나다","meaning_to_japanese","3"
"生まれる","うまれる","v","태어나다","japanese_to_meaning","3"
"海","うみ","n","바다","reading","1"
"海","うみ","n","바다","meaning_to_japanese","1"
"海","うみ","n","바다","japanese_to_meaning","1"
"梅","うめ","n","매화","reading","1"
"梅","うめ","n","매화","meaning_to_japanese","1"
"梅","うめ","n","매화","japanese_to_meaning","1"
"売る","うる","v","팔다","reading","2"
"売る","うる","v","팔다","meaning_to_japanese","2"
"売る","うる","v","팔다","japanese_to_meaning","2"
"うるさい","","i-adj","시끄럽다","meaning_to_japanese","2"
"うるさい","","i-adj","시끄럽다","japanese_to_meaning","2"
"嬉しい","うれしい","i-adj","기쁘다","reading","2"
"嬉しい","うれしい","i-adj","기쁘다","meaning_to_japanese","2"
"嬉しい","うれしい","i-adj","기쁘다","japanese_to_meaning","2"
"運動","うんどう","n/v","운동","reading","2"
"運動","うんどう","n/v","운동","meaning_to_japanese","2"
"運動","うんどう","n/v","운동","japanese_to_meaning","2"
"運転","うんてん","n/v","운전","reading","2"
"運転","うんてん","n/v","운전","meaning_to_japanese","2"
"運転","うんてん","n/v","운전","japanese_to_meaning","2"
"運命","うんめい","n","운명","reading","2"
"運命","うんめい","n","운명","meaning_to_japanese","2"
"運命","うんめい","n","운명","japanese_to_meaning","2"
"絵","え","n","그림","reading","1"
"絵","え","n","그림","meaning_to_japanese","1"
"絵","え","n","그림","japanese_to_meaning","1"
"英語","えいご","n","영어","reading","2"
"英語","えいご","n","영어","meaning_to_japanese","2"
"英語","えいご","n","영어","japanese_to_meaning","2"
"映画","えいが","n","영화","reading","2"
"映画","えいが","n","영화","meaning_to_japanese","2"
"映画","えいが","n","영화","japanese_to_meaning","2"
"映画館","えいがかん","n","영화관","reading","2"
"映画館","えいがかん","n","영화관","meaning_to_japanese","2"
"映画館","えいがかん","n","영화관","japanese_to_meaning","2"
"栄養","えいよう","n","영양","reading","2"
"栄養","えいよう","n","영양","meaning_to_japanese","2"
"栄養","えいよう","n","영양","japanese_to_meaning","2"
"影響","えいきょう","n/v","영향","reading","2"
"影響","えいきょう","n/v","영향","meaning_to_japanese","2"
"影響","えいきょう","n/v","영향","japanese_to_meaning","2"
"駅","えき","n","역","reading","1"
"駅","えき","n","역","meaning_to_japanese","1"
"駅","えき","n","역","japanese_to_meaning","1"
"枝","えだ","n","가지","reading","1"
"枝","えだ","n","가지","meaning_to_japanese","1"
"枝","えだ","n","가지","japanese_to_meaning","1"
"笑顔","えがお","n","웃는 얼굴","reading","2"
"笑顔","えがお","n","웃는 얼굴","meaning_to_japanese","2"
"笑顔","えがお","n","웃는 얼굴","japanese_to_meaning","2"
"エレベーター","","n","엘리베이터","meaning_to_japanese","2"
"エレベーター","","n","엘리베이터","japanese_to_meaning","2"
"鉛筆","えんぴつ","n","연필","reading","2"
"鉛筆","えんぴつ","n","연필","meaning_to_japanese","2"
"鉛筆","えんぴつ","n","연필","japanese_to_meaning","2"
"演奏","えんそう","n/v","연주","reading","2"
"演奏","えんそう","n/v","연주","meaning_to_japanese","2"
"演奏","えんそう","n/v","연주","japanese_to_meaning","2"
"遠慮","えんりょ","n/v","사양, 유의","reading","3"
"遠慮","えんりょ","n/v","사양, 유의","meaning_to_japanese","3"
"遠慮","えんりょ","n/v","사양, 유의","japanese_to_meaning","3"
"お母さん","おかあさん","n","어머니","reading","2"
"お母さん","おかあさん","n","어머니","meaning_to_japanese","2"
"お母さん","おかあさん","n","어머니","japanese_to_meaning","2"
"お菓子","おかし","n","과자","reading","2"
"お菓子","おかし","n","과자","meaning_to_japanese","2"
"お菓子","おかし","n","과자","japanese_to_meaning","2"
"可笑しい","おかしい","i-adj","우스꽝스러운","reading","2"
"可笑しい","おかしい","i-adj","우스꽝스러운","meaning_to_japanese","2"
"可笑しい","おかしい","i-adj","우스꽝스러운","japanese_to_meaning","2"
"お金","おかね","n","돈","reading","2"
"お金","おかね","n","돈","meaning_to_japanese","2"
"お金","おかね","n","돈","japanese_to_meaning","2"
"起きる","おきる","v","일어나다","reading","3"
"起きる","おきる","v","일어나다","meaning_to_japanese","3"
"起きる","おきる","v","일어나다","japanese_to_meaning","3"
"置く","おく","v","두다, 놓다","reading","2"
"置く","おく","v","두다, 놓다","meaning_to_japanese","2"
"置く","おく","v","두다, 놓다","japanese_to_meaning","2"
"億","おく","num","억","reading","2"
"億","おく","num","억","meaning_to_japanese","2"
"億","おく","num","억","japanese_to_meaning","2"
"屋上","おくじょう","n","옥상","reading","2"
"屋上","おくじょう","n","옥상","meaning_to_japanese","2"
"屋上","おくじょう","n","옥상","japanese_to_meaning","2"
"奥さん","おくさん","n","아내, 부인","reading","2"
"奥さん","おくさん","n","아내, 부인","meaning_to_japanese","2"
"奥さん","おくさん","n","아내, 부인","japanese_to_meaning","2"
"送る","おくる","v","보내다","reading","2"
"送る","おくる","v","보내다","meaning_to_japanese","2"
"送る","おくる","v","보내다","japanese_to_meaning","2"
"怒る","おこる","v","화내다","reading","2"
"怒る","おこる","v","화내다","meaning_to_japanese","2"
"怒る","おこる","v","화내다","japanese_to_meaning","2"
"起こる","おこる","v","일어나다","reading","3"
"起こる","おこる","v","일어나다","meaning_to_japanese","3"
"起こる","おこる","v","일어나다","japanese_to_meaning","3"
"行う","おこなう","v","행하다","reading","2"
"行う","おこなう","v","행하다","meaning_to_japanese","2"
"行う","おこなう","v","행하다","japanese_to_meaning","2"
"お酒","おさけ","n","술","reading","2"
"お酒","おさけ","n","술","meaning_to_japanese","2"
"お酒","おさけ","n","술","japanese_to_meaning","2"
"幼い","おさない","i-adj","어리다","reading","2"
"幼い","おさない","i-adj","어리다","meaning_to_japanese","2"
"幼い","おさない","i-adj","어리다","japanese_to_meaning","2"
"お皿","おさら","n","접시","reading","2"
"お皿","おさら","n","접시","meaning_to_japanese","2"
"お皿","おさら","n","접시","japanese_to_meaning","2"
"抑える","おさえる","v","누르다","reading","3"
"抑える","おさえる","v","누르다","meaning_to_japanese","3"
"抑える","おさえる","v","누르다","japanese_to_meaning","3"
"お世話","おせわ","n","보살핌, 도움","reading","2"
"お世話","おせわ","n","보살핌, 도움","meaning_to_japanese","2"
"お世話","おせわ","n","보살핌, 도움","japanese_to_meaning","2"
"遅い","おそい","i-adj","늦다, 느리다","reading","2"
"遅い","おそい","i-adj","늦다, 느리다","meaning_to_japanese","2"
"遅い","おそい","i-adj","늦다, 느리다","japanese_to_meaning","2"
"恐らく","おそらく","adv","아마도","reading","3"
"恐らく","おそらく","adv","아마도","meaning_to_japanese","3"
"恐らく","おそらく","adv","아마도","japanese_to_meaning","3"
"襲う","おそう","v","습격하다","reading","2"
"襲う","おそう","v","습격하다","meaning_to_japanese","2"
"襲う","おそう","v","습격하다","japanese_to_meaning","2"
"教える","おしえる","v","가르치다","reading","3"
"教える","おしえる","v","가르치다","meaning_to_japanese","3"
"教える","おしえる","v","가르치다","japanese_to_meaning","3"
"惜しい","おしい","i-adj","아깝다","reading","2"
"惜しい","おしい","i-adj","아깝다","meaning_to_japanese","2"
"惜しい","おしい","i-adj","아깝다","japanese_to_meaning","2"
"押す","おす","v","누르다, 밀다","reading","2"
"押す","おす","v","누르다, 밀다","meaning_to_japanese","2"
"押す","おす","v","누르다, 밀다","japanese_to_meaning","2"
"お茶","おちゃ","n","차","reading","2"
"お茶","おちゃ","n","차","meaning_to_japanese","2"
"お茶","おちゃ","n","차","japanese_to_meaning","2"
"落ちる","おちる","v","떨어지다","reading","3"
"落ちる","おちる","v","떨어지다","meaning_to_japanese","3"
"落ちる","おちる","v","떨어지다","japanese_to_meaning","3"
"弟","おとうと","n","남동생","reading","1"
"弟","おとうと","n","남동생","meaning_to_japanese","1"
"弟","おとうと","n","남동생","japanese_to_meaning","1"
"男","おとこ","n","남자","reading","1"
"男","おとこ","n","남자","meaning_to_japanese","1"
"男","おとこ","n","남자","japanese_to_meaning","1"
"音","おと","n","소리","reading","1"
"音","おと","n","소리","meaning_to_japanese","1"
"音","おと","n","소리","japanese_to_meaning","1"
"一昨日","おととい","n","그저께","reading","2"
"一昨日","おととい","n","그저께","meaning_to_japanese","2"
"一昨日","おととい","n","그저께","japanese_to_meaning","2"
"大人","おとな","n","어른","reading","2"
"大人","おとな","n","어른","meaning_to_japanese","2"
"大人","おとな","n","어른","japanese_to_meaning","2"
"落とす","おとす","v","떨어뜨리다","reading","3"
"落とす","おとす","v","떨어뜨리다","meaning_to_japanese","3"
"落とす","おとす","v","떨어뜨리다","japanese_to_meaning","3"
"踊る","おどる","v","춤추다","reading","2"
"踊る","おどる","v","춤추다","meaning_to_japanese","2"
"踊る","おどる","v","춤추다","japanese_to_meaning","2"
"驚く","おどろく","v","놀라다","reading","2"
"驚く","おどろく","v","놀라다","meaning_to_japanese","2"
"驚く","おどろく","v","놀라다","japanese_to_meaning","2"
"同じ","おなじ","adj","같은","reading","2"
"同じ","おなじ","adj","같은","meaning_to_japanese","2"
"同じ","おなじ","adj","같은","japanese_to_meaning","2"
"お腹","おなか","n","배","reading","2"
"お腹","おなか","n","배","meaning_to_japanese","2"
"お腹","おなか","n","배","japanese_to_meaning","2"
"女性","おんなのひと","n","여성","reading","2"
"女性","おんなのひと","n","여성","meaning_to_japanese","2"
"女性","おんなのひと","n","여성","japanese_to_meaning","2"
"お兄さん","おにいさん","n","형, 오빠","reading","2"
"お兄さん","おにいさん","n","형, 오빠","meaning_to_japanese","2"
"お兄さん","おにいさん","n","형, 오빠","japanese_to_meaning","2"
"お姉さん","おねえさん","n","누나, 언니","reading","2"
"お姉さん","おねえさん","n","누나, 언니","meaning_to_japanese","2"
"お姉さん","おねえさん","n","누나, 언니","japanese_to_meaning","2"
"覚える","おぼえる","v","기억하다, 외우다","reading","3"
"覚える","おぼえる","v","기억하다, 외우다","meaning_to_japanese","3"
"覚える","おぼえる","v","기억하다, 외우다","japanese_to_meaning","3"
"重い","おもい","i-adj","무겁다","reading","2"
"重い","おもい","i-adj","무겁다","meaning_to_japanese","2"
"重い","おもい","i-adj","무겁다","japanese_to_meaning","2"
"思い出","おもいで","n","추억","reading","2"
"思い出","おもいで","n","추억","meaning_to_japanese","2"
"思い出","おもいで","n","추억","japanese_to_meaning","2"
"主に","おもに","adv","주로","reading","2"
"主に","おもに","adv","주로","meaning_to_japanese","2"
"主に","おもに","adv","주로","japanese_to_meaning","2"
"面白い","おもしろい","i-adj","재미있다","reading","2"
"面白い","おもしろい","i-adj","재미있다","meaning_to_japanese","2"
"面白い","おもしろい","i-adj","재미있다","japanese_to_meaning","2"
"表","おもて","n","표면, 앞면","reading","2"
"表","おもて","n","표면, 앞면","meaning_to_japanese","2"
"表","おもて","n","표면, 앞면","japanese_to_meaning","2"
"泳ぐ","およぐ","v","수영하다","reading","2"
"泳ぐ","およぐ","v","수영하다","meaning_to_japanese","2"
"泳ぐ","およぐ","v","수영하다","japanese_to_meaning","2"
"降りる","おりる","v","내리다","reading","3"
"降りる","おりる","v","내리다","meaning_to_japanese","3"
"降りる","おりる","v","내리다","japanese_to_meaning","3"
"織る","おる","v","짜다","reading","2"
"織る","おる","v","짜다","meaning_to_japanese","2"
"織る","おる","v","짜다","japanese_to_meaning","2"
"折る","おる","v","접다","reading","2"
"折る","おる","v","접다","meaning_to_japanese","2"
"折る","おる","v","접다","japanese_to_meaning","2"
"終わる","おわる","v","끝나다","reading","3"
"終わる","おわる","v","끝나다","meaning_to_japanese","3"
"終わる","おわる","v","끝나다","japanese_to_meaning","3"
"音楽","おんがく","n","음악","reading","2"
"音楽","おんがく","n","음악","meaning_to_japanese","2"
"音楽","おんがく","n","음악","japanese_to_meaning","2"
"女","おんな","n","여자","reading","1"
"女","おんな","n","여자","meaning_to_japanese","1"
"女","おんな","n","여자","japanese_to_meaning","1"
"海外","かいがい","n","해외","reading","2"
"海外","かいがい","n","해외","meaning_to_japanese","2"
"海外","かいがい","n","해외","japanese_to_meaning","2"
"会議","かいぎ","n","회의","reading","2"
"会議","かいぎ","n","회의","meaning_to_japanese","2"
"会議","かいぎ","n","회의","japanese_to_meaning","2"
"階段","かいだん","n","계단","reading","2"
"階段","かいだん","n","계단","meaning_to_japanese","2"
"階段","かいだん","n","계단","japanese_to_meaning","2"
"解決","かいけつ","n/v","해결","reading","2"
"解決","かいけつ","n/v","해결","meaning_to_japanese","2"
"解決","かいけつ","n/v","해결","japanese_to_meaning","2"
